City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
484,salida,37.7058,-121.0849,289.9,88,20,2.57,US,1698047003
485,angra dos reis,-23.0067,-44.3181,292.99,90,36,0.62,BR,1698047004
486,kaa-khem,51.6833,94.7333,284.88,42,100,1.95,RU,1698046846
487,i-n-salah,27.1935,2.4607,304.16,19,14,5.82,DZ,1698047004
488,pacific grove,36.6177,-121.9166,289.21,94,75,3.09,US,1698046957
489,zuyevka,58.405,51.1335,275.17,58,95,4.23,RU,1698047005
490,alma,48.5501,-71.6491,278.21,84,98,2.19,CA,1698046837
491,lupane,-18.9315,27.807,306.75,26,29,2.8,ZW,1698047006
492,omsk,55.0,73.4,273.09,80,75,9.0,RU,1698047006
493,yeppoon,-23.1333,150.7333,303.03,75,2,7.54,AU,1698047006
494,nuuk,64.1835,-51.7216,269.49,80,3,6.17,GL,1698047007
495,zaltan,32.947,11.8665,302.84,27,0,4.84,LY,1698047007
496,kirakira,-10.4544,161.9205,299.3,83,97,1.27,SB,1698047007
497,luderitz,-26.6481,15.1594,291.89,66,0,1.96,NA,1698047008
498,bamboo flat,11.7,92.7167,302.2,79,40,2.57,IN,1698047008
499,port lincoln,-34.7333,135.8667,295.33,46,77,6.6,AU,1698047009
500,ario de rosales,19.2,-101.7167,286.76,95,100,1.33,MX,1698047001
501,mizan teferi,6.9833,35.5833,296.37,72,81,0.78,ET,1698047009
502,al bawiti,28.3492,28.8659,297.96,58,1,4.15,EG,1698047010
503,killeen,31.1171,-97.7278,296.64,85,100,6.17,US,1698047010
504,zyryanskoye,56.8306,86.6258,276.21,95,100,9.39,RU,1698047010
505,ocean shores,46.9737,-124.1563,285.94,86,100,1.79,US,1698047011
506,concepcion del oro,24.6333,-101.4167,289.54,67,58,1.39,MX,1698047011
507,atlantic beach,30.3344,-81.3987,294.16,80,0,2.06,US,1698047011
508,ventspils,57.3894,21.5606,282.11,100,100,2.06,LV,1698047012
509,manay,7.215,126.5397,301.51,78,77,1.03,PH,1698047012
510,horta,38.5333,-28.6333,292.95,80,75,6.71,PT,1698047012
511,loiza,18.4313,-65.8802,299.9,92,27,4.02,PR,1698047013
512,savannakhet,16.566,104.751,305.16,45,75,2.06,LA,1698047013
513,rock springs,41.5875,-109.2029,284.84,35,0,3.09,US,1698046787
514,st. john's,47.5649,-52.7093,280.91,96,100,4.12,CA,1698046874
515,strezhevoy,60.7333,77.5889,273.98,68,90,5.82,RU,1698047014
516,bada,51.392,109.8717,281.73,54,64,2.19,RU,1698047015
517,kumertau,52.7667,55.7833,276.86,54,95,5.75,RU,1698047015
518,havre,49.5833,0.3333,284.02,82,0,5.14,FR,1698047015
519,beaufort west,-32.3567,22.583,295.62,31,62,3.79,ZA,1698047016
520,kruisfontein,-34.0033,24.7314,293.87,48,58,2.76,ZA,1698047016
521,kampene,-3.6,26.6667,301.92,62,100,1.01,CD,1698047016
522,parun,35.4207,70.9221,281.72,49,10,0.74,AF,1698047017
523,moab,38.5733,-109.5498,291.18,29,12,3.81,US,1698047017
524,sarkand,45.41,79.9186,283.96,82,100,6.02,KZ,1698047017
525,mazamari,-11.3258,-74.5308,293.98,85,90,0.93,PE,1698047018
526,karagandy,49.8019,73.1021,271.12,42,6,7.86,KZ,1698047018
527,kyjov,49.0102,17.1225,289.95,61,100,0.82,CZ,1698047018
528,geraldton,-28.7667,114.6,295.38,46,4,10.29,AU,1698047019
529,castillos,-34.1667,-53.8333,291.17,99,100,1.66,UY,1698047019
530,kijang,35.2442,129.2139,293.0,45,0,3.46,KR,1698047019
531,taroa,8.7058,171.2275,301.24,75,100,6.36,MH,1698047020
532,pau brasil,-15.4642,-39.6511,292.38,99,66,0.76,BR,1698047020
533,ceeldheer,3.8488,47.1806,303.41,64,17,5.47,SO,1698047020
534,tommot,58.9564,126.2925,273.59,84,98,3.96,RU,1698047021
535,kalmunai,7.4167,81.8167,300.27,77,100,3.49,LK,1698047021
536,north bay,46.3168,-79.4663,274.32,88,0,2.06,CA,1698047022
537,perote,19.5667,-97.2333,285.0,91,100,2.2,MX,1698047022
538,dubti,11.7361,41.0853,306.73,28,6,2.09,ET,1698047022
539,sao vicente,-23.9631,-46.3919,296.25,26,28,1.2,BR,1698047023
540,emiliano zapata,18.8333,-99.1833,295.74,64,100,0.37,MX,1698047023
541,loncoche,-39.3667,-72.6333,277.94,96,17,0.1,CL,1698047023
542,ulan bator,47.9077,106.8832,285.22,26,0,5.0,MN,1698047024
543,kudahuvadhoo,2.6708,72.8944,300.64,73,99,4.05,MV,1698047024
544,cidade velha,14.9167,-23.6167,297.41,88,40,3.09,CV,1698047024
545,wewak,-3.5534,143.6268,301.33,79,73,2.58,PG,1698047025
546,santa maria,-29.6842,-53.8069,293.36,97,100,1.69,BR,1698047025
547,mili,6.0815,171.735,302.03,74,98,5.74,MH,1698047025
548,metu,8.3,35.5833,295.09,75,99,0.85,ET,1698047026
549,namibe,-15.1961,12.1522,298.47,64,10,3.52,AO,1698047026
550,san jose del guaviare,2.5729,-72.6459,294.28,99,97,0.13,CO,1698047026
551,omuo-ekiti,7.7583,5.7223,297.21,89,100,2.06,NG,1698047027
552,diglur,18.55,77.6,303.85,36,69,4.05,IN,1698047027
553,ajaccio,42.0,8.9167,288.18,59,0,4.12,FR,1698046758
554,eraan,9.0629,117.7016,301.76,76,100,0.85,PH,1698047028
555,mengibar,37.9701,-3.7965,293.0,76,100,0.97,ES,1698047028
556,castelo do piaui,-5.3222,-41.5525,298.44,65,100,3.35,BR,1698047028
557,vila franca do campo,37.7167,-25.4333,291.38,99,51,2.97,PT,1698047029
558,camabatela,-8.1881,15.375,297.11,65,99,0.46,AO,1698047029
559,isangel,-19.55,169.2667,296.14,82,100,6.77,VU,1698047030
560,sao joao da barra,-21.6403,-41.0511,294.49,80,94,3.84,BR,1698047030
561,labytnangi,66.6572,66.4183,268.75,84,90,3.27,RU,1698047030
562,costa rica,-23.4167,-54.65,294.26,57,10,3.55,BR,1698047031
563,arcachon,44.5875,-1.0519,285.6,94,100,0.0,FR,1698047031
564,lhuentse,27.6679,91.1839,297.64,26,25,3.54,BT,1698047031
565,north bend,43.4065,-124.2243,287.55,94,100,3.6,US,1698047032
566,lazaro cardenas,17.9583,-102.2,297.71,89,100,2.08,MX,1698047032
567,pierre,44.3683,-100.351,282.51,79,0,4.12,US,1698047032
568,ugoofaaru,5.6667,73.0,300.71,77,99,3.65,MV,1698047033
569,la'ie,21.6477,-157.9253,299.51,76,42,2.77,US,1698047033
570,acapulco de juarez,16.8634,-99.8901,299.05,89,40,3.09,MX,1698046939
571,taghazout,30.5426,-9.7112,291.58,79,57,2.64,MA,1698047034
572,muisne,0.6,-80.0333,298.02,85,100,2.17,EC,1698047035
